City_ID,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
538,omsukchan,62.5333,155.8,-33.33,94,93,2.12,RU,1675826999
539,ewa beach,21.3156,-158.0072,26.97,71,75,5.66,US,1675827000
540,kidal,18.4411,1.4078,23.31,15,83,3.19,ML,1675827000
541,bolobo,-2.1667,16.2333,22.29,84,47,1.71,CD,1675827001
542,port shepstone,-30.7414,30.455,23.26,84,100,7.54,ZA,1675827002
543,azangaro,-14.9167,-70.2167,4.75,93,100,0.6,PE,1675827003
544,airai,-8.9266,125.4092,21.25,79,80,1.49,TL,1675826811
545,goderich,43.7501,-81.7165,2.18,87,100,4.12,CA,1675826909
546,zamora,-4.0692,-78.9567,19.58,99,76,0.46,EC,1675827005
547,rawah,34.4816,41.9093,6.35,69,91,3.04,IQ,1675827006
548,rabaul,-4.1967,152.1721,29.18,69,96,4.29,PG,1675827007
549,coro,11.4045,-69.6734,23.67,88,32,6.5,VE,1675827008
550,rach gia,10.0167,105.0833,29.75,62,56,4.72,VN,1675827009
551,kupang,-10.1667,123.5833,31.32,74,40,5.14,ID,1675827009
552,tarrafal,15.2833,-23.7667,19.44,68,9,8.31,CV,1675827010
553,dawei,14.0833,98.2,31.62,38,4,2.45,MM,1675827011
554,clarksburg,39.2807,-80.3445,15.25,65,100,4.12,US,1675826893
555,maraba,-5.3686,-49.1178,24.1,100,20,0.0,BR,1675827012
556,colares,38.7992,-9.4469,9.63,71,18,5.36,PT,1675827013
557,hualmay,-11.0964,-77.6139,22.39,86,26,2.44,PE,1675827014
558,bud,39.447,-86.1758,8.19,80,80,2.71,US,1675827015
559,aswan,24.0934,32.907,9.1,46,26,4.13,EG,1675827016
560,baloda bazar,21.6667,82.1667,24.68,25,0,2.8,IN,1675827016
561,hargeysa,9.56,44.065,14.45,96,8,3.57,SO,1675827017
562,roros,62.5747,11.3842,-13.09,85,40,0.51,NO,1675827018
563,uige,-7.6087,15.0613,18.93,92,100,0.99,AO,1675827020
564,los llanos de aridane,28.6585,-17.9182,11.86,62,20,3.09,ES,1675826602
565,claresholm,50.0333,-113.5852,3.95,48,99,5.14,CA,1675827021
566,tiarei,-17.5333,-149.3333,30.01,64,2,2.76,PF,1675827023
567,verkhnyaya sinyachikha,57.976,61.6673,-16.28,94,35,2.97,RU,1675827023
568,lincoln,40.8,-96.667,4.45,65,0,1.54,US,1675826815
569,buchanan,5.8808,-10.0467,25.09,92,100,2.14,LR,1675827025
570,nantucket,41.2835,-70.0995,2.06,79,40,6.17,US,1675827026
571,piranshahr,36.701,45.1413,-6.64,91,63,2.64,IR,1675827027
572,talakan,50.3167,130.3667,-18.96,74,13,3.13,RU,1675827027
573,chaiya,9.3862,99.1986,28.99,72,39,4.02,TH,1675826773
574,collie,-33.3667,116.15,31.24,26,0,2.17,AU,1675827029
575,qasigiannguit,68.8193,-51.1922,-26.86,99,99,1.71,GL,1675827029
576,cayenne,4.9333,-52.3333,25.02,88,20,1.54,GF,1675827031
